Family,Species,Genus,Epithet,Author(s),Status,UsageID,Tax source,Reference I,Reference II,Reference III,Hemi,,,
Acanthaceae,Clistax bahiensis,Clistax,bahiensis,Profice & Leitman,,,powo,Profice and Leitman (2013),,,,,,
Acanthaceae,Dischistocalyx epiphytica,Dischistocalyx,epiphytica,Lindau,accepted,wfo-0000651843,wfo,Lindau (1921),,,,,,
Acanthaceae,Dischistocalyx minimus,Dischistocalyx,minimus,Champl. & Senterre,accepted,wfo-0000746383,wfo,Champluvier and Senterre (2010),,,,,,
Acanthaceae,Justicia brasiliana,Justicia,brasiliana,Roth,accepted,wfo-0000354192,wfo,Giongo and Waechter (2004),,,,,,
Acanthaceae,Louteridium parayi,Louteridium,parayi,Miranda,accepted,wfo-0001044076,wfo,Richardson (1971),,,,,,
Acanthaceae,Ruellia angustiflora,Ruellia,angustiflora,(Nees) Lindau ex Rambo,accepted,wfo-0000737403,wfo,Giongo and Waechter (2004),,,,,,
Acanthaceae,Stenandrium radicosum,Stenandrium,radicosum,Nees,accepted,wfo-0000433788,wfo,Hokche et al. (2008),,,,,,
Acanthaceae,Stenostephanus reflexiflorus,Stenostephanus,reflexiflorus,(Leonard) J.R.I.Wood,ambiguous,wfo-0000744856,wfo,Correa A. et al. (2004),,,,,,
Alzateaceae,Alzatea verticillata,Alzatea,verticillata,Ruiz & Pav.,accepted,wfo-0000956932,wfo,Werner et al. (2005),,,H,,,
Amaryllidaceae,Clivia miniata,Clivia,miniata,(Lindl.) Bosse,accepted,wfo-0000763762,wfo,http://lists.ibiblio.org/pipermail/pbs/2010-July/037736.html,,,,,,
Amaryllidaceae,Cyrtanthus epiphyticus,Cyrtanthus,epiphyticus,J.M.Wood,accepted,wfo-0000764912,wfo,http://www.amaryllidaceae.org/eco/epiphyt.htm,,,,,,
Amaryllidaceae,Hippeastrum arboricola,Hippeastrum,arboricola,(Ravenna) Meerow,accepted,wfo-0000659454,wfo,http://www.amaryllidaceae.org/eco/epiphyt.htm,,,,,,
Amaryllidaceae,Hippeastrum aulicum,Hippeastrum,aulicum,(Ker Gawl.) Herb.,accepted,wfo-0000659498,wfo,Blum et al. (2011),Brazilian Flora 2020 in construction (cont. updated),,,,,
