"SPECIES","GENUS","EPITHET","AUTHOR","COUNTRY","DEPARTAMENTO","MUNICIPIO","LOCALIDAD","LATITUD","LONGITUD","ALTURA","HABITAT"
"Maxillaria acutifolia","Maxillaria","acutifolia","Schltr.","Honduras","Olancho","","",14.819222,-86.619143,"","Terrestrial"
"Microchilus venustulus ","Microchilus","venustulus","(Ames) Ames","Honduras","La Paz","Marcala","Marcala",14.16394444,-88.03997222,"1200","Terrestrial"
"Microchilus venustulus ","Microchilus","venustulus","Ames","Honduras","Comayagua","Comayagua","Comayagua",14.49102778,-87.66675,"0","Terrestrial"
"Prosthechea abbreviata","Prosthechea","abbreviata","(Schltr.) W.E.Higgins","Honduras","Atlántida","Tela","Jardin Botanico de Lancetilla",15.73598056,-87.45518611,"20","Epiphyte"
"Prosthechea abbreviata","Prosthechea","abbreviata","(Schltr.) W.E.Higgins","Honduras","El Paraíso","El Paraíso","",13.87231667,-86.55674722,"900","Epiphyte"
"Prosthechea abbreviata","Prosthechea","abbreviata","(Schltr.) W.E.Higgins","Honduras","El Paraíso","","Escuela Fco. Morazán",13.86372222,-86.55577778,"950","Epiphyte"
"Prosthechea abbreviata","Prosthechea","abbreviata","(Schltr.) W.E.Higgins","Honduras","Olancho","Pisijire","Mata de Tarro",15.17055556,-85.47281389,"500","Epiphyte"
"Prosthechea abbreviata","Prosthechea","abbreviata","(Schltr.) W.E.Higgins","Honduras","Olancho","","Arroyadas del rio Wampu",15.25,-85.41666,"500 - 700 m","Epiphyte"
"Epidendrum aberrans","Epidendrum","aberrans","Schltr.","Honduras","Comayagua","Siguatepeque","(San Juanillo). Peña Blanca peak of the Cordillera de Montecillos Biological Reserve ",14.4841666,-87.8780556,"2000 m","Terrestrial"
"Lankesteriana barbulata","Lankesteriana","barbulata","Ames","Honduras","Intibucá","La Esperanza","Cerro Los Hoyos",14.29221111,-88.16039167,"2172","Terrestrial"
"Maxillaria aciantha","Maxillaria","aciantha","Rchb.fil.","Honduras","Cortés","Santa Cruz de Yojoa","In rain forest, nacimiento del Río Lindo near Lake Yojoa. ",14.98361,-88.02944,"300 - 630 m","Epiphyte"
"Maxillaria aciantha","Maxillaria","aciantha","Rchb.fil.","Honduras","Cortés","","Rio Lindo, near Peña Blanca.",15.001646,-88.004041,"","Epiphyte"
